NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted
NCT06511973,A Study to Learn About Whether BAYH006689 Causes Skin Irritation When Applied as a Topical Gel in Healthy Participants,https://clinicaltrials.gov/study/NCT06511973,,COMPLETED,NO,DRUG: Naproxen (BAYH006689)|DRUG: Placebo Gel|DRUG: A solution of 0.9% Saline|DRUG: A solution of 0.2% SLS,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,42,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2024-07-23,2024-08-20,2024-08-20,2024-07-22,,2024-09-19
NCT06487845,A Study to Learn How Safe BAY3283142 is When Taken as a Single Dose or as Multiple Doses in Healthy Chinese Participants,https://clinicaltrials.gov/study/NCT06487845,,COMPLETED,NO,DRUG: BAY3283142|DRUG: Placebo,Bayer,,ALL,ADULT,PHASE1,24,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2024-07-04,2024-09-19,2024-09-19,2024-07-05,,2024-09-24
NCT06474208,A Study to Learn About the Taste of Vericiguat Given in Liquid Form in Healthy Male Participants Aged 18 to 45 Years,https://clinicaltrials.gov/study/NCT06474208,,COMPLETED,NO,DRUG: Formulation 1|DRUG: Formulation 2|DRUG: Formulation 3|DRUG: Formulation 4|DRUG: Formulation 5 (placebo),Bayer,,MALE,ADULT,PHASE1,19,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2024-07-01,2024-09-30,2024-09-30,2024-06-25,,2024-10-08
NCT06415019,A Study to Learn About Whether BAY H006689 Causes an Allergic Reaction When Applied as a Topical Gel in Healthy Participants,https://clinicaltrials.gov/study/NCT06415019,,COMPLETED,NO,DRUG: Naproxen (BAYH006689)|DRUG: Placebo Gel|DRUG: A solution of 0.9% Saline,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,236,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2024-06-05,2024-08-01,2024-08-01,2024-05-16,,2024-08-14
NCT06412926,A Study to Learn About How Much Emodepside Gets Absorbed in the Blood and How Food Affects Its Absorption When Given as a New Type of Tablet to Healthy Participants,https://clinicaltrials.gov/study/NCT06412926,,COMPLETED,NO,DRUG: BAY 44-4400|DRUG: BAY 44-4400,Bayer,,ALL,ADULT,PHASE1,14,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2024-05-07,2024-08-27,2024-08-27,2024-05-14,,2024-09-27
NCT06378658,A Study to Learn About How Food and Esomeprazole Affect the Level of BAY2927088 in the Blood When Taken Together in Healthy Participants,https://clinicaltrials.gov/study/NCT06378658,,COMPLETED,NO,DRUG: BAY2927088|DRUG: Esomeprazole|OTHER: Food,Bayer,,ALL,ADULT,PHASE1,21,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2024-03-29,2024-06-11,2024-06-11,2024-04-22,,2024-07-05
NCT06360211,A Study to Learn About How BAY2927088 Affects the Level of Midazolam in the Blood When Both Drugs Are Taken Together in Healthy Participants,https://clinicaltrials.gov/study/NCT06360211,,COMPLETED,NO,DRUG: BAY2927088|DRUG: Midazolam,Bayer,,ALL,ADULT,PHASE1,15,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: OTHER,2024-04-17,2024-06-28,2024-06-28,2024-04-11,,2024-07-03
NCT06348888,A Study to Learn About How Itraconazole and Carbamazepine Affect the Level of BAY2927088 in the Blood When These Drugs Are Taken Together by Healthy Participants,https://clinicaltrials.gov/study/NCT06348888,,COMPLETED,NO,DRUG: BAY2927088|DRUG: Itraconazole|DRUG: Carbamazepine,Bayer,,ALL,ADULT,PHASE1,30,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2024-04-10,2024-06-12,2024-06-12,2024-04-05,,2024-06-20
NCT06329895,A Study to Learn About How BAY2927088 Affects the Level of Dabigatran or Rosuvastatin in the Blood When These Drugs Are Taken Together in Healthy Participants,https://clinicaltrials.gov/study/NCT06329895,,COMPLETED,NO,DRUG: BAY2927088|DRUG: Dabigatran etexilate|DRUG: Rosuvastatin,Bayer,,ALL,ADULT,PHASE1,15,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: OTHER,2024-03-25,2024-06-10,2024-06-10,2024-03-26,,2024-07-05
NCT06293326,"A First-in-Human Study to Learn How Well a Bi-Layer Calcium Carbonate Antacid Tablet Works Compared to a Standard, Non-Layered Calcium Carbonate Tablet in Healthy Male Participants",https://clinicaltrials.gov/study/NCT06293326,,COMPLETED,NO,DRUG: bi-layer calcium carbonate tablet (BAY1180654)|DRUG: Immediate release calcium carbonate tablet (BAY1180654),Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE1,21,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2024-03-06,2024-05-15,2024-05-15,2024-03-05,,2024-07-03
